A new study created in RDB with name: MLP_12115
Trial 0 finished with value: 141.5070466244852 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00538449941369389, 'batch_size': 96}. Best is trial 0 with value: 141.5070466244852.
Trial 508 finished with value: 14.40933136080943 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009547949883509047, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 509 finished with value: 19.344985742172266 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0007605392713626325, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 510 finished with value: 18.000658658071522 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011360050529095995, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 511 finished with value: 15.139632236564488 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0008424771013709647, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 512 finished with value: 97.0566256738416 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0012625107483277963, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 513 finished with value: 53.745506339773 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009696977496585676, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 514 finished with value: 34.13624628861527 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0006745714340468579, 'batch_size': 128}. Best is trial 425 with value: 10.402115430356979.
Trial 515 finished with value: 14.111809853668122 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014022477944229143, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 516 finished with value: 28.643276883575368 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0010774673190872565, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 517 finished with value: 31.649106087669132 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013084691944439644, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 518 finished with value: 20.962561501061476 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0008576922630189382, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 519 finished with value: 316.30884454079165 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 1.2443699911652343e-05, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 520 finished with value: 21.816230514611437 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0005038362108030219, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 521 finished with value: 193.89196989173587 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.00023660763614030632, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 522 finished with value: 139.63674918905858 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010576172337688858, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 523 finished with value: 14.631194060692515 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012013649014453846, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 524 finished with value: 19.670892265616367 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0006091992009100378, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 525 finished with value: 18.39443144503304 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014977083243069983, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 526 finished with value: 88.39136248590603 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0007223126889592426, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 527 finished with value: 11.991347703925287 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010087986518239106, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 528 finished with value: 24.46367485083975 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0003639564690017575, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 529 finished with value: 15.750489343665539 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000909614035688565, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 530 finished with value: 20.173986018463793 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009795122257213414, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 531 finished with value: 96.92628313840856 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.000810171477287675, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 532 finished with value: 23.818385603893596 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010255723441717703, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 533 finished with value: 19.828799696050936 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001140030900408324, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 534 finished with value: 18.04632929709577 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0008993806902603456, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 535 finished with value: 16.08642964294376 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0008297378356860325, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 536 finished with value: 19.57616621400944 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.000730212771388908, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 537 finished with value: 678.2591320600073 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011929522286416095, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 538 finished with value: 19.836656379727028 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000992528305863106, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 539 finished with value: 34.224876571223646 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0006024723111801946, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 540 finished with value: 13.815063942335065 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011086536119340657, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 541 finished with value: 81.4404862052079 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013198046792341663, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 542 finished with value: 16.462816725733052 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0007207343094268918, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 543 finished with value: 28.053337629068803 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001018102665352033, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 544 finished with value: 176.58327549318358 and parameters: {'input_dropout': 0.0, 'hidden_layers': 2, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000874272182883797, 'batch_size': 96}. Best is trial 425 with value: 10.402115430356979.
Trial 545 finished with value: 14.383557794504423 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013066844108564082, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 546 finished with value: 14.733646310121136 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014652899802377226, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 547 finished with value: 17.214248595997372 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011378525927286365, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 548 finished with value: 15.910698296210443 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009235837204625559, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 549 finished with value: 23.122245357018038 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0007846520073379702, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 550 finished with value: 96.99585914863059 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0012675725608589684, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 551 finished with value: 10.958681420563233 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0006390069569992562, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 552 finished with value: 25.973806039143813 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0005854450190791304, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 553 finished with value: 95.551198260525 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0005307708435677738, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 554 finished with value: 172.83573301388805 and parameters: {'input_dropout': 0.2, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0026500924605422065, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 555 finished with value: 2015.8469437562633 and parameters: {'input_dropout': 0.1, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0006717342585758914, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 556 finished with value: 31.258392207710408 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0003951022750985822, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 557 finished with value: 18.51451174526605 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.00045355479679388126, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 558 finished with value: 16.313435903407107 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0017508640934073125, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 559 finished with value: 27.325773561713234 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014942320242306117, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 560 finished with value: 20.769695026247046 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0006441486528495923, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 561 finished with value: 20.98382801924648 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010805562291707732, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 562 finished with value: 18.12182741016831 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013246218623529434, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 563 finished with value: 22.80946631702805 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0016570524669183814, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 564 finished with value: 22.870479440980294 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0020239228665192453, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 565 finished with value: 14.275261058507343 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0005280968822396763, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 566 finished with value: 20.931737115285276 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009091544828169187, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 567 finished with value: 23.16073408458964 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012135668729981158, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 568 finished with value: 17.141813210213847 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000746205797092459, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 569 finished with value: 96.4429962145179 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0010220327880505141, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 570 finished with value: 18.783381450681365 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014591518844716106, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 571 finished with value: 19.700123614805868 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011934077690499293, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 572 finished with value: 15.012487457908627 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0016915895357100404, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 573 finished with value: 186.02002610022058 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014152902234265085, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 574 finished with value: 26.839158650213566 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0024059593395333915, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 575 finished with value: 21.828059252336512 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010016889588929988, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 576 finished with value: 20.25873757995282 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0008163061141758756, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 577 finished with value: 33.32791761053292 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0006240254256569105, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 578 finished with value: 80.66054454594834 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001138628409755334, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 579 finished with value: 17.737515805278928 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0019354591571244064, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 580 finished with value: 63.40418775127763 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012847074458809124, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 581 finished with value: 29.384821200957443 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009003072772507587, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
Trial 582 finished with value: 62.46395096829863 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0015909773136525297, 'batch_size': 64}. Best is trial 425 with value: 10.402115430356979.
