A new study created in RDB with name: MLP_62542
Trial 0 finished with value: 258.6958705672323 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002127899633977048, 'batch_size': 128}. Best is trial 0 with value: 258.6958705672323.
Trial 216 finished with value: 17.33810580957237 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010840927050125718, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 217 finished with value: 21.910237714038086 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017888816515874391, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 218 finished with value: 13.428900085519198 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014295627556574506, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 219 finished with value: 223.60789125612217 and parameters: {'input_dropout': 0.2, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014140545233713388, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 220 finished with value: 20.39266127853813 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020589317258282165, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 221 finished with value: 16.443955980035533 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016015753088639724, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 222 finished with value: 13.359225649712544 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0011983711922510666, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 223 finished with value: 20.358521776642377 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014032069695999654, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 224 finished with value: 19.671161516506544 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012290061065133862, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 225 finished with value: 17.877361320931456 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018309264996204174, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 226 finished with value: 14.305507793439855 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015452369877980447, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 227 finished with value: 12.887685426542426 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002161493434930376, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 228 finished with value: 18.237709319970826 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024572233348176065, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 229 finished with value: 23.24558048086418 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020886658568839735, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 230 finished with value: 14.30825595456394 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002392594809086595, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 231 finished with value: 18.517489679350078 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016104283511659257, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 232 finished with value: 16.401362799245284 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017578101220707134, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 233 finished with value: 23.04456809174782 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019043154935117106, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 234 finished with value: 15.407136141766438 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014911463579308038, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 235 finished with value: 16.307185416142698 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020431690980660163, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 236 finished with value: 14.028200947894442 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029831401501001545, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 237 finished with value: 149.41309994297265 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0028285241367766237, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 238 finished with value: 25.696909859571225 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029468403807541275, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 239 finished with value: 16.77584663721478 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003822257422786289, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 240 finished with value: 23.775869914547933 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002426802631667477, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 241 finished with value: 14.589278413735714 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016650680651308979, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 242 finished with value: 13.827424842111983 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001421297238022291, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 243 finished with value: 18.07900431387273 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00133409557617128, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 244 finished with value: 15.54622319431394 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020683305561427436, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 245 finished with value: 15.694507180641287 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0011173969288085488, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 246 finished with value: 23.17603567661182 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012378843846987803, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 247 finished with value: 21.972948456487817 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014237165056716118, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 248 finished with value: 16.18250542582728 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018039473878483272, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 249 finished with value: 18.280913865267788 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002247088694540677, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 250 finished with value: 147.63730584871732 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016396727879742902, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 251 finished with value: 15.364120955758121 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001033987415124364, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 252 finished with value: 12.507095531055352 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002680531460023641, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 253 finished with value: 19.795075808205986 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0026003085638328705, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 254 finished with value: 20.34451054963699 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027173150901827546, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 255 finished with value: 18.792572559913374 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002204779459806363, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 256 finished with value: 18.08112953040346 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0032985299688980747, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 257 finished with value: 15.383125817510782 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00196682103258775, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 258 finished with value: 23.409920055809042 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0035374051502445464, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 259 finished with value: 21.468539595021287 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0028148709733116324, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 260 finished with value: 16.178515468052204 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018760956810940836, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 261 finished with value: 102.14433590043997 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0024291173267514763, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 262 finished with value: 102.93404396554504 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.004527002017349828, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 263 finished with value: 17.45286972910984 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016115079438664276, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 264 finished with value: 20.081867113713283 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012954301556954773, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 265 finished with value: 14.266517437788043 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0021968634948647133, 'batch_size': 32}. Best is trial 204 with value: 11.673051584706704.
Trial 266 finished with value: 13.798277600107474 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001909406948828107, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 267 finished with value: 21.893101962286494 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015105804469369005, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 268 finished with value: 18.907468640623623 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0031381875125098945, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 269 finished with value: 35.08504846806823 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001185670163738655, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 270 finished with value: 16.72602888407128 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017758177443135024, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 271 finished with value: 16.58565415719248 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0021026244643531904, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 272 finished with value: 17.053037646343448 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013756229122564633, 'batch_size': 64}. Best is trial 204 with value: 11.673051584706704.
Trial 273 finished with value: 10.920427326259588 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002500332134530641, 'batch_size': 64}. Best is trial 273 with value: 10.920427326259588.
Trial 274 finished with value: 10.508949231461642 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025993776839317423, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 275 finished with value: 19.07216751610184 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002994009948976671, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 276 finished with value: 13.022158271397059 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025608467313321544, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 277 finished with value: 18.962056714036677 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025380026139294773, 'batch_size': 128}. Best is trial 274 with value: 10.508949231461642.
Trial 278 finished with value: 100.93959147901556 and parameters: {'input_dropout': 0.1, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025505653258036352, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 279 finished with value: 16.736836652378845 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023339627471993417, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 280 finished with value: 16.611509407043677 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002671053975910244, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 281 finished with value: 161.73963914613583 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0021650422934776288, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 282 finished with value: 23.893203567501022 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018899392705007758, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 283 finished with value: 82.08483113943731 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016755437918141009, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 284 finished with value: 26.056408987073755 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023466695769886513, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 285 finished with value: 10.849792841240923 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003318804745176791, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 286 finished with value: 20.056842569372737 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003673002025829153, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
Trial 287 finished with value: 22.320533866302306 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.004231476600212964, 'batch_size': 64}. Best is trial 274 with value: 10.508949231461642.
