A new study created in RDB with name: MLP_153131
Trial 0 finished with value: 495.5684996318022 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0010891743874929258, 'batch_size': 96}. Best is trial 0 with value: 495.5684996318022.
Trial 381 finished with value: 146.12860569656394 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0028403257226634828, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 382 finished with value: 15.12759020560032 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002663068683880142, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 383 finished with value: 17.43016499270494 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015919411831247377, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 384 finished with value: 15.425142668809665 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029866196279253903, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 385 finished with value: 8.880043203469437 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003231915252836298, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 386 finished with value: 18.894842470431723 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0036387386888649055, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 387 finished with value: 15.285358896256248 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003400198096950744, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 388 finished with value: 834.7598608505339 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0031898555529810586, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 389 finished with value: 20.914279020406543 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003229508015778664, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 390 finished with value: 14.128518503756963 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003043825880435557, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 391 finished with value: 21.729771172706933 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002791428778538894, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 392 finished with value: 21.390008312372974 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0034552778000042344, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 393 finished with value: 13.894733472112492 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002899076125460655, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 394 finished with value: 21.945906832225567 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0026637122886810647, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 395 finished with value: 85.74621938425189 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0038556238074473155, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 396 finished with value: 29.952851616592167 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0032745405510964326, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 397 finished with value: 17.7732498557373 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029860231061863856, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 398 finished with value: 19.317253412667796 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002507396025483443, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 399 finished with value: 12.162459267146048 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027403781967043116, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 400 finished with value: 180.19355362416817 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027220157412723356, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 401 finished with value: 200.88886443959052 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0025391697289183475, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 402 finished with value: 14.167766848490123 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002767758626350803, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 403 finished with value: 20.839875429153906 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002467646724788775, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 404 finished with value: 65.99301700053016 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0026526705395344572, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 405 finished with value: 17.583198149811395 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015118173632965488, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 406 finished with value: 22.206002074504713 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0028548952784530307, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 407 finished with value: 16.755298230536827 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023522806214163186, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 408 finished with value: 20.712156891483552 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0005489515660663195, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 409 finished with value: 16.643342887910727 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002576604388833607, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 410 finished with value: 25.518768193403073 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013651248470199502, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 411 finished with value: 19.22950114817784 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0028623765661459147, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 412 finished with value: 59.19251981645425 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002282054039175854, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 413 finished with value: 15.606550924563411 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002691096158635549, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 414 finished with value: 482.5594899243884 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001610626254749459, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 415 finished with value: 85.27396156601212 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002431681982302018, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 416 finished with value: 20.9795786134545 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00317837156852386, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 417 finished with value: 4172.921465186292 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002995029663375389, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 418 finished with value: 22.695782485521374 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025763170759662934, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 419 finished with value: 21.285341984598716 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017192187354401034, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 420 finished with value: 244.387024275807 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0014804966698997808, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 421 finished with value: 41.71753328531178 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027649389293222127, 'batch_size': 128}. Best is trial 295 with value: 8.730305301702867.
Trial 422 finished with value: 20.345210375286563 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0035070259535950805, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 423 finished with value: 13.991847993878137 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024240366266368397, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 424 finished with value: 1952.6729106277553 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022409276641874756, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 425 finished with value: 14.941092224222285 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002883107347871258, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 426 finished with value: 95.52045607156667 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003131832208599651, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 427 finished with value: 15.00482109212345 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0026002672404838896, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 428 finished with value: 20.568850372077293 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027501678685522436, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 429 finished with value: 13.602501962758861 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024212127295399105, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 430 finished with value: 22.93118294473155 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024083548208541964, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 431 finished with value: 16.721709791196975 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025641328854423715, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 432 finished with value: 14.280656991897208 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013911120172917476, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 433 finished with value: 29.637589658285883 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030031407972034596, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 434 finished with value: 24.231833378174816 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002426588576700956, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 435 finished with value: 74.77378343269534 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0026862123190772172, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 436 finished with value: 15.591891881684228 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002921903780946041, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 437 finished with value: 15.976226499808494 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002583854888161171, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 438 finished with value: 22.10285377173858 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.003284720432189832, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 439 finished with value: 59.621550525420844 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002255941574744373, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 440 finished with value: 31.760111575099458 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002869559145187342, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 441 finished with value: 14.798398972975717 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027527320373215707, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 442 finished with value: 19.325357955324076 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024174808249352304, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 443 finished with value: 14.731010795999149 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002533075426841714, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 444 finished with value: 13.5607311659154 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003103907859367442, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 445 finished with value: 17.22227111316121 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0034839416212661617, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 446 finished with value: 174.72336296409748 and parameters: {'input_dropout': 0.2, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0031927241722287843, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 447 finished with value: 25.365191226583786 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0031425063287008528, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 448 finished with value: 27.50810029339605 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003627891782462881, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 449 finished with value: 45.72938895457605 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0033560877284992065, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 450 finished with value: 17.910896698271635 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030342677607879415, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 451 finished with value: 10.78456411786314 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029090152525515756, 'batch_size': 96}. Best is trial 295 with value: 8.730305301702867.
Trial 452 finished with value: 19.28104507704608 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0028210281100042862, 'batch_size': 64}. Best is trial 295 with value: 8.730305301702867.
