A new study created in RDB with name: MLP_942
Trial 0 finished with value: 184.6502827269914 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 7, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030870657531373693, 'batch_size': 32}. Best is trial 0 with value: 184.6502827269914.
Trial 746 finished with value: 309.6796438241595 and parameters: {'input_dropout': 0.1, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00030431972283557926, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 747 finished with value: 8651.086258109972 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0005247164742823029, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 748 finished with value: 78.71000092378236 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00037245960936457985, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 749 finished with value: 180.94690541896435 and parameters: {'input_dropout': 0.1, 'hidden_layers': 4, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00990182012231415, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 750 finished with value: 180.07873136505805 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0040754359749301935, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 751 finished with value: 17338.62022835966 and parameters: {'input_dropout': 0.2, 'hidden_layers': 9, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00017878338185983375, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 752 finished with value: 263.78346728140644 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0004226654030152979, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 753 finished with value: 105.44609330517085 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 4, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.005842751985524963, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 754 finished with value: 196.51396231962977 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.000661061319152492, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 755 finished with value: 37.213975359513114 and parameters: {'input_dropout': 0.05, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.008876723569783454, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 756 finished with value: 176.8312838229112 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0023148306310805658, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 757 finished with value: 671.636780619679 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 10, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0010409270665823129, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 758 finished with value: 166.70382771060258 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0015555904288549404, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 759 finished with value: 112.17301774007743 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0011579476842898456, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 760 finished with value: 273.39712108140725 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012071725161679088, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 761 finished with value: 159.1843287024234 and parameters: {'input_dropout': 0.1, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.004764708245964898, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 762 finished with value: 241.5618014371829 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00020136173951657444, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 763 finished with value: 3495.9076814254277 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0008167034411804842, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 764 finished with value: 22779.930875016777 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0001397341247701024, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 765 finished with value: 704.1870237562229 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.009182654237135896, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 766 finished with value: 23206.009830769573 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00010260311021596104, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 767 finished with value: 164.35957407919173 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0006385514190450076, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 768 finished with value: 17588.511084532056 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00013069002246507457, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 769 finished with value: 202.69444787045663 and parameters: {'input_dropout': 0.1, 'hidden_layers': 6, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.009624422771570702, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 770 finished with value: 260.56528172510514 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.000801987732744888, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 771 finished with value: 4232.77400851931 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0013845593315876888, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 772 finished with value: 133.64514229246518 and parameters: {'input_dropout': 0.2, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0007149233058361866, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 773 finished with value: 183.6696664128213 and parameters: {'input_dropout': 0.2, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0033149495016795353, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 774 finished with value: 108.54912430331848 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0007603318581578105, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 775 finished with value: 9464.91403572447 and parameters: {'input_dropout': 0.2, 'hidden_layers': 7, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00021424972494148313, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 776 finished with value: 20713.130959723323 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00013417293952642885, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 777 finished with value: 164.56477278721266 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0006723977829186763, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 778 finished with value: 424.8948660728972 and parameters: {'input_dropout': 0.2, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020642776993722274, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 779 finished with value: 5011.8200254875455 and parameters: {'input_dropout': 0.1, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0003238973064586694, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 780 finished with value: 93.05895822868759 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.005097811937719167, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 781 finished with value: 167.1200283275603 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0009402763825386937, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 782 finished with value: 248.10969544913814 and parameters: {'input_dropout': 0.2, 'hidden_layers': 10, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0028707288701469054, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 783 finished with value: 86.48120830853279 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015968498782402676, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 784 finished with value: 17498.286514887433 and parameters: {'input_dropout': 0.1, 'hidden_layers': 10, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00040080618286977864, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 785 finished with value: 18055.598542574717 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00010703177873062928, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 786 finished with value: 170.5606245333274 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0006368139276516818, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 787 finished with value: 206.14291283821103 and parameters: {'input_dropout': 0.2, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0047168499354074776, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 788 finished with value: 192.86594112517787 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 4, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.004935869346553052, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 789 finished with value: 13832.7945108322 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0002455743227683158, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 790 finished with value: 166.12148746626548 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0014206960369324752, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 791 finished with value: 170.59021157316673 and parameters: {'input_dropout': 0.1, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.001891474290548418, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 792 finished with value: 285.74970066085257 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0001243233918479823, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 793 finished with value: 138.16638818534977 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.005576102360388234, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 794 finished with value: 863.6715233415111 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0008009099521875288, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 795 finished with value: 141.11745537158652 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0010294680538350009, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 796 finished with value: 13504.639458706994 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00020374726786655175, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 797 finished with value: 4811.666554884404 and parameters: {'input_dropout': 0.1, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0003129827780309238, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 798 finished with value: 62.65430581267489 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0008292488966754726, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 799 finished with value: 331.09667054010845 and parameters: {'input_dropout': 0.2, 'hidden_layers': 8, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00034160032587068564, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 800 finished with value: 105.47099613404717 and parameters: {'input_dropout': 0.1, 'hidden_layers': 7, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0015379003623879341, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 801 finished with value: 147.42369496264774 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0033634554437449453, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 802 finished with value: 15444.108598175977 and parameters: {'input_dropout': 0.1, 'hidden_layers': 3, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0001701082042199286, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 803 finished with value: 11724.663883918704 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00012049623930835375, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 804 finished with value: 5049.668656148347 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0003780240011337781, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 805 finished with value: 170.90625204180876 and parameters: {'input_dropout': 0.2, 'hidden_layers': 6, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.008412963082680396, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 806 finished with value: 167.82777148377443 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014480143917095746, 'batch_size': 128}. Best is trial 390 with value: 16.963969438912468.
Trial 807 finished with value: 13353.808701437454 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0002360461450913446, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 808 finished with value: 132.44952317174668 and parameters: {'input_dropout': 0.05, 'hidden_layers': 3, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00035120298123778824, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 809 finished with value: 130.28954692910995 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0021180676539087335, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 810 finished with value: 227.87038057324224 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.007420461304131598, 'batch_size': 64}. Best is trial 390 with value: 16.963969438912468.
Trial 811 finished with value: 127.0506362611848 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00022379974977568647, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 812 finished with value: 8964.59806059916 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00029205729761512604, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 813 finished with value: 167.5929986266498 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0005476151983485649, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 814 finished with value: 1705.739782444384 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0001624420423826268, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 815 finished with value: 8302.753928466716 and parameters: {'input_dropout': 0.2, 'hidden_layers': 8, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00011257014161490793, 'batch_size': 32}. Best is trial 390 with value: 16.963969438912468.
Trial 816 finished with value: 4065.792485391166 and parameters: {'input_dropout': 0.2, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0006939582775722387, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
Trial 817 finished with value: 1087.1760830481076 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 10, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0008978712510752242, 'batch_size': 96}. Best is trial 390 with value: 16.963969438912468.
